Targeted_gene_name,Geo_mean_relative,TTN_normalized_relative,97_percentile_relative,80_percentile_relative,99_percentile_relative,60_percentile_relative,TTB_normalized_relative,90_percentile_relative,LN_mean_relative,70_percentile_relative,95_percentile_relative,50_percentile_relative,Geo_mean_relative_95P,Geo_mean_relative_5P,Geo_mean_relative_fraction_greater_than_one,Geo_mean_relative_bootstrap_median,Geo_mean_relative_bootstrap_mean,Geo_mean_relative_97.5P,Geo_mean_relative_2.5P,TTN_normalized_relative_95P,TTN_normalized_relative_5P,TTN_normalized_relative_fraction_greater_than_one,TTN_normalized_relative_bootstrap_median,TTN_normalized_relative_bootstrap_mean,TTN_normalized_relative_97.5P,TTN_normalized_relative_2.5P,97_percentile_relative_95P,97_percentile_relative_5P,97_percentile_relative_fraction_greater_than_one,97_percentile_relative_bootstrap_median,97_percentile_relative_bootstrap_mean,97_percentile_relative_97.5P,97_percentile_relative_2.5P,80_percentile_relative_95P,80_percentile_relative_5P,80_percentile_relative_fraction_greater_than_one,80_percentile_relative_bootstrap_median,80_percentile_relative_bootstrap_mean,80_percentile_relative_97.5P,80_percentile_relative_2.5P,99_percentile_relative_95P,99_percentile_relative_5P,99_percentile_relative_fraction_greater_than_one,99_percentile_relative_bootstrap_median,99_percentile_relative_bootstrap_mean,99_percentile_relative_97.5P,99_percentile_relative_2.5P,60_percentile_relative_95P,60_percentile_relative_5P,60_percentile_relative_fraction_greater_than_one,60_percentile_relative_bootstrap_median,60_percentile_relative_bootstrap_mean,60_percentile_relative_97.5P,60_percentile_relative_2.5P,TTB_normalized_relative_95P,TTB_normalized_relative_5P,TTB_normalized_relative_fraction_greater_than_one,TTB_normalized_relative_bootstrap_median,TTB_normalized_relative_bootstrap_mean,TTB_normalized_relative_97.5P,TTB_normalized_relative_2.5P,90_percentile_relative_95P,90_percentile_relative_5P,90_percentile_relative_fraction_greater_than_one,90_percentile_relative_bootstrap_median,90_percentile_relative_bootstrap_mean,90_percentile_relative_97.5P,90_percentile_relative_2.5P,LN_mean_relative_95P,LN_mean_relative_5P,LN_mean_relative_fraction_greater_than_one,LN_mean_relative_bootstrap_median,LN_mean_relative_bootstrap_mean,LN_mean_relative_97.5P,LN_mean_relative_2.5P,70_percentile_relative_95P,70_percentile_relative_5P,70_percentile_relative_fraction_greater_than_one,70_percentile_relative_bootstrap_median,70_percentile_relative_bootstrap_mean,70_percentile_relative_97.5P,70_percentile_relative_2.5P,95_percentile_relative_95P,95_percentile_relative_5P,95_percentile_relative_fraction_greater_than_one,95_percentile_relative_bootstrap_median,95_percentile_relative_bootstrap_mean,95_percentile_relative_97.5P,95_percentile_relative_2.5P,50_percentile_relative_95P,50_percentile_relative_5P,50_percentile_relative_fraction_greater_than_one,50_percentile_relative_bootstrap_median,50_percentile_relative_bootstrap_mean,50_percentile_relative_97.5P,50_percentile_relative_2.5P,Geo_mean_relative_pvalue,Geo_mean_relative_pvalue_FDR,Geo_mean_relative_pvalue_twoside,Geo_mean_relative_pvalue_twoside_FDR,TTN_normalized_relative_pvalue,TTN_normalized_relative_pvalue_FDR,TTN_normalized_relative_pvalue_twoside,TTN_normalized_relative_pvalue_twoside_FDR,97_percentile_relative_pvalue,97_percentile_relative_pvalue_FDR,97_percentile_relative_pvalue_twoside,97_percentile_relative_pvalue_twoside_FDR,80_percentile_relative_pvalue,80_percentile_relative_pvalue_FDR,80_percentile_relative_pvalue_twoside,80_percentile_relative_pvalue_twoside_FDR,99_percentile_relative_pvalue,99_percentile_relative_pvalue_FDR,99_percentile_relative_pvalue_twoside,99_percentile_relative_pvalue_twoside_FDR,60_percentile_relative_pvalue,60_percentile_relative_pvalue_FDR,60_percentile_relative_pvalue_twoside,60_percentile_relative_pvalue_twoside_FDR,TTB_normalized_relative_pvalue,TTB_normalized_relative_pvalue_FDR,TTB_normalized_relative_pvalue_twoside,TTB_normalized_relative_pvalue_twoside_FDR,90_percentile_relative_pvalue,90_percentile_relative_pvalue_FDR,90_percentile_relative_pvalue_twoside,90_percentile_relative_pvalue_twoside_FDR,LN_mean_relative_pvalue,LN_mean_relative_pvalue_FDR,LN_mean_relative_pvalue_twoside,LN_mean_relative_pvalue_twoside_FDR,70_percentile_relative_pvalue,70_percentile_relative_pvalue_FDR,70_percentile_relative_pvalue_twoside,70_percentile_relative_pvalue_twoside_FDR,95_percentile_relative_pvalue,95_percentile_relative_pvalue_FDR,95_percentile_relative_pvalue_twoside,95_percentile_relative_pvalue_twoside_FDR,50_percentile_relative_pvalue,50_percentile_relative_pvalue_FDR,50_percentile_relative_pvalue_twoside,50_percentile_relative_pvalue_twoside_FDR
Actr8,0.8474992308749807,0.7799237077834398,0.6804138693285879,0.7151253571468748,0.8706037463453172,0.8457930731611769,0.6737793070711185,0.6709319712573252,0.770575614543513,0.7756758978964079,0.6416771470207705,0.8740605770582731,0.9030784259840281,0.8047591805471681,0.0,0.8531112103256966,0.8525194800743946,0.9131570497612616,0.7961529589529518,0.942370672780692,0.6670984439089999,0.015,0.7944901464953864,0.7880817288772111,0.977091524709877,0.6462488324452922,0.875015046974408,0.571348357418954,0.0123,0.7071914964941918,0.6974877544750879,0.9312154455261477,0.5482745743639018,0.8083588598510633,0.6457181150069141,0.0,0.7249468304930142,0.7236138315398264,0.8265524929437599,0.631097788108636,1.4813773619625452,0.583130010324548,0.2906,0.9272577017733625,0.8579045805479957,1.6234638521806235,0.5499230037209464,0.9268326719099399,0.7614388448643966,0.0017,0.8413277605315492,0.8396360729785756,0.9445415632082341,0.7467864524012104,0.908397693922228,0.5155204479050498,0.0158,0.6935689952566212,0.6816561212607138,0.9664002265805396,0.49017969654056087,0.7828030314160341,0.5987443927533744,0.0,0.6898234454636016,0.6898872116945194,0.8026711638505438,0.5808786802531937,0.8405048313365797,0.7093193427605371,0.0,0.7734322955771542,0.7722755272435432,0.8546492282472418,0.6979748537979292,0.8769960676794276,0.7160918478656205,0.0,0.7941279312968873,0.7926562108006937,0.8937844811540926,0.70147900532861,0.797283290047241,0.579477684867242,0.0003,0.6807022815883778,0.6757049885258111,0.8257177864915702,0.5611524980739494,0.9506122061802799,0.8106545949365639,0.0044,0.8793322648886005,0.8789025748580035,0.9667166998147462,0.8003389310257235,0.0,0.0,0.0,0.0,0.015,0.07577586206896551,0.03,0.15155172413793103,0.0123,0.072078,0.0246,0.144156,0.0,0.0,0.0,0.0,0.2906,0.49299128205128206,0.5812,0.9859825641025641,0.0017,0.011320454545454545,0.0034,0.02264090909090909,0.0158,0.07466774193548388,0.0316,0.14933548387096776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0026636363636363633,0.0006,0.0053272727272727265,0.0044,0.031443902439024396,0.0088,0.06288780487804879
Aebp2,0.9734179640775635,1.0891688210158863,0.849760003122579,1.0135691582240467,0.9411606075357315,0.9908875712043159,0.9849126331381672,0.9213382789326041,0.9615868539263981,0.9863990326166746,0.8875411546033198,1.0140414455120408,1.027642800744198,0.9324788044332837,0.2426,0.9799323814249369,0.9799071454482152,1.0371648964225633,0.9239863725269394,1.4045121289180624,0.9452071517738567,0.853,1.135643935136819,1.1121481318327775,1.4864049923649207,0.9184619749425769,1.0467553851458171,0.769093073040153,0.1057,0.8929614194457883,0.8848292347603062,1.0867995276574065,0.7487037529322261,1.1141024905881618,0.9068164964762736,0.5591,1.0100723104660183,1.0098534658441745,1.1343051654091187,0.8867454923620692,1.2036295090891052,0.7442324694019028,0.3638,0.9594720072516504,0.9474977995884568,1.2667106832581365,0.7130089743460156,1.0712772127491712,0.9207184442700131,0.4335,0.9935605421152639,0.9928372772359353,1.0895389598125156,0.9068210185243197,1.7896853608741654,0.7044386133806364,0.6015,1.131363366113947,1.0701483831497312,2.0110588779220158,0.6624766335257314,1.0563159072885777,0.8586726028888074,0.2111,0.9532039850850593,0.9506435479757915,1.0817105027859046,0.841646300666763,1.0358424073091526,0.8958537602120705,0.2085,0.9654814997816433,0.9653573745554916,1.0502377133014245,0.8835954076332172,1.0907138984879856,0.902755773142899,0.4627,0.9954992306479761,0.9950676427012499,1.110684715504878,0.8864219109912491,1.0396676546903907,0.8100186993917576,0.1311,0.9226049429021956,0.9207059471292904,1.0664915758162554,0.7903644044173822,1.0867707067590557,0.9311203288115221,0.5477,1.0068249103120364,1.0057415053751888,1.1011758506187361,0.9185915641462655,0.2426,0.3536407960199005,0.4852,0.707281592039801,0.14700000000000002,0.312108695652174,0.29400000000000004,0.624217391304348,0.1057,0.26663000000000003,0.2114,0.5332600000000001,0.44089999999999996,0.4749400735294117,0.8817999999999999,0.9498801470588234,0.3638,0.4977915789473684,0.7276,0.9955831578947368,0.4335,0.46751208791208787,0.867,0.9350241758241757,0.39849999999999997,0.47413805668016196,0.7969999999999999,0.9482761133603239,0.2111,0.3343367567567568,0.4222,0.6686735135135136,0.2085,0.3218373684210526,0.417,0.6436747368421052,0.4627,0.49478503649635036,0.9254,0.9895700729927007,0.1311,0.2845355555555556,0.2622,0.5690711111111112,0.45230000000000004,0.48039352517985606,0.9046000000000001,0.9607870503597121
Alkbh3,0.9971038810462522,1.0318141598126447,0.8790310848609107,1.0022491765346677,0.872638667140659,1.0321046033390804,0.9836673723013365,0.9508658715665959,0.9832962313540755,1.047847641283335,0.9061440788550764,1.0153425292433695,1.0492185038808302,0.9622329430426584,0.5612,1.0046056473059155,1.0040363236157122,1.0582002716020098,0.9546623236196168,1.203180533441812,0.917271572267719,0.7076,1.051713238452483,1.0465424342181566,1.2431825697576286,0.895066498836848,1.0313624985321532,0.7937544807421357,0.1006,0.9063792141474823,0.9035038647271286,1.0586359544405521,0.7732611141413542,1.12686796933994,0.9325333192425372,0.5873,1.018647392098954,1.0120894348986003,1.1563700974005882,0.9195932563884288,1.1300720964697675,0.7156849162374155,0.1632,0.8919474243994189,0.8714604106873356,1.2066259250134574,0.6964872900995374,1.13102426590562,0.9702789017268622,0.836,1.0471110716669305,1.0450710774703806,1.1494322642326662,0.955975675842628,1.4298009291472233,0.7014418685797343,0.5576,1.0462759373878676,1.0354785464802359,1.5136688099688325,0.6603943472942418,1.090468742621203,0.8813976468082356,0.343,0.9783820208504501,0.9743080803945231,1.11552489210607,0.8629209502233542,1.0576068830561058,0.9232858521645294,0.3728,0.9882950465542439,0.9872840653793796,1.0718880012231817,0.9109018323025937,1.138935710859835,0.9711055722852143,0.8422,1.0509085833595218,1.0488982899413744,1.1580813398278722,0.9572701475106602,1.0590498929431347,0.8271813203754631,0.179,0.9360287605404086,0.9320811934869986,1.0875238766664774,0.8087192479220748,1.096402829618239,0.9546536841674508,0.6712,1.021387636325515,1.0188671693081361,1.111110055646965,0.9426235382034976,0.43879999999999997,0.4757195571955719,0.8775999999999999,0.9514391143911438,0.2924,0.4334970731707317,0.5848,0.8669941463414634,0.1006,0.258559649122807,0.2012,0.517119298245614,0.41269999999999996,0.46153091603053426,0.8253999999999999,0.9230618320610685,0.1632,0.45708,0.3264,0.91416,0.16400000000000003,0.32249664429530206,0.32800000000000007,0.6449932885906041,0.4424,0.4891441509433962,0.8848,0.9782883018867924,0.343,0.43776186440677967,0.686,0.8755237288135593,0.3728,0.4399669322709164,0.7456,0.8799338645418328,0.15780000000000005,0.29638076923076934,0.3156000000000001,0.5927615384615387,0.179,0.34489738562091504,0.358,0.6897947712418301,0.3288,0.454081220657277,0.6576,0.908162441314554
Arid1a,1.248898348676482,0.879552877447207,1.315459719015932,1.5168680995923682,1.1199610842057495,1.4043314994564415,1.18065819175602,1.4310940401636145,1.3650718202061762,1.4860122302258185,1.315630582312817,1.3186935457081037,1.3602988909402067,1.1729947332106279,1.0,1.26110688234744,1.2578024497898666,1.3821096405716233,1.1586065698465682,1.1459408102256083,0.7305811724695206,0.1879,0.9008445865378835,0.8800439315976061,1.2165096576743215,0.7077190453360225,1.596936614276243,1.1138379794328972,0.9979,1.3447058464804922,1.3361054520051954,1.6507710211383728,1.0770352008388675,1.783629690606843,1.307036163532783,1.0,1.5250997298714748,1.5133418715574054,1.8461310531508093,1.2740272655861182,1.3809702480593533,1.0044181883277377,0.9559,1.180958922223611,1.1723613782517117,1.42696261215403,0.9798995611192962,1.5840291138130065,1.2469265451341696,1.0,1.4055995837559718,1.398107154036001,1.6270258675561864,1.2187743783836984,1.8591397731676549,0.8966289301759579,0.8315,1.2661032944959167,1.2006239563663015,2.022040630619295,0.856502136261157,1.681808495503219,1.211568781521917,1.0,1.4421655506953888,1.4370547295758875,1.7432811597142963,1.172252962494644,1.5384031905238524,1.2399178430262794,1.0,1.3783349375644962,1.3711276901479215,1.577107641895842,1.2165414336546063,1.7102267017486836,1.3033611785630541,1.0,1.490336144444532,1.4797628912620486,1.766161924015224,1.2749408403606168,1.6511573847478522,1.1692072189488596,0.9999,1.3649335218169454,1.3399925136905235,1.7206314619688563,1.1394674552953066,1.4889274581806895,1.1591734415023454,1.0,1.3191495586406439,1.3170771468102123,1.5279017056381854,1.1338547632277456,0.0,0.0,0.0,0.0,0.1879,0.3559477419354839,0.3758,0.7118954838709678,0.0020999999999999908,0.017091666666666592,0.0041999999999999815,0.034183333333333184,0.0,0.0,0.0,0.0,0.04410000000000003,0.2496134615384615,0.08820000000000006,0.499226923076923,0.0,0.0,0.0,0.0,0.16849999999999998,0.31647756410256406,0.33699999999999997,0.6329551282051281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.999999999998899e-05,0.0010464285714285716,0.00019999999999997797,0.0020928571428571433,0.0,0.0,0.0,0.0
Arid2,0.924038430508995,0.7913732495114136,0.7426101078535096,0.8854638916141572,0.7443792016167707,0.9480546143767832,0.6064590720215206,0.8707492091301419,0.8797901365919736,0.9115036410325513,0.7839056769151154,0.9510960455425345,0.9803696218182083,0.8825382763204487,0.0155,0.9302852733528459,0.9293792269192926,0.9912540227889775,0.8738214140972971,0.9695248016421945,0.6714820955370984,0.0308,0.8045829263621744,0.7957890447115245,1.0120231555322832,0.6510335029622689,0.9508369770220886,0.6532143944326384,0.0255,0.7791425956364445,0.7639830009119684,1.0016950762027006,0.6346539158785477,0.9813692623756542,0.7948878855010515,0.0261,0.8859686263469805,0.8845422175144814,1.0010890990311334,0.7774855308496844,1.541224746168814,0.620523906138502,0.1373,0.8609634746071219,0.7737720830701653,1.8304670160482441,0.5968550180247795,1.03727092871545,0.8612662201052338,0.1571,0.9464269503118299,0.9453020742203959,1.05591840549583,0.8467242693697732,0.8900136215986264,0.466941165028723,0.0134,0.655383445792164,0.6426027995179435,0.9520591942909586,0.43906123874905506,0.9874041247302779,0.7611098263644402,0.0349,0.8718257900956587,0.8707393306006115,1.011689260174197,0.7424374387800771,0.9644328413482831,0.8114728610293589,0.0139,0.8841852422525113,0.8814352304933849,0.9846721911404552,0.7981055898140378,1.0105356225263142,0.8346556464558883,0.0697,0.9165343994342942,0.9138397585651632,1.0320179196346606,0.8204480569932534,0.9280964241345793,0.7080585114205791,0.0097,0.8118327647218848,0.8073648753373811,0.9552223957420265,0.6898383465751762,1.025435071345065,0.8791955066849095,0.1256,0.9493611990723159,0.9468540184601706,1.0426883516792387,0.8678786234654022,0.0155,0.044965346534653464,0.031,0.08993069306930693,0.0308,0.1223472972972973,0.0616,0.2446945945945946,0.0255,0.11151492537313433,0.051,0.22302985074626866,0.0261,0.08049789473684212,0.0522,0.16099578947368423,0.1373,0.45708,0.2746,0.91416,0.1571,0.3188648275862069,0.3142,0.6377296551724138,0.0134,0.06870344827586207,0.0268,0.13740689655172414,0.0349,0.09956310679611652,0.0698,0.19912621359223304,0.0139,0.04198659793814432,0.0278,0.08397319587628864,0.0697,0.16469435483870967,0.1394,0.32938870967741934,0.0097,0.04372461538461539,0.0194,0.08744923076923078,0.1256,0.32567079646017694,0.2512,0.6513415929203539
Arid4a,1.2907774563618672,0.9648647817961141,1.3453314104678826,1.5225015592908873,1.393605233242968,1.5265844234414407,1.6928559396687453,1.4731799545506474,1.4651592798142594,1.5413738198220783,1.3655352685877016,1.3625984748024713,1.3854795448025807,1.2214289216398966,1.0,1.3012580063163603,1.2998297166660517,1.404533545825665,1.2080726198953762,1.30823479164635,0.7731852985718944,0.4366,0.9992670614045588,0.9738826131728422,1.3987564403872557,0.7435175619945834,1.697850082069728,1.1458417642059153,0.9985,1.4029164672598167,1.3887035829151413,1.7653166331903214,1.1085781971187931,1.7708484129569892,1.383659712106133,1.0,1.5606060667469563,1.5504740244447117,1.8225694333400653,1.3530040208250265,1.6654864827140836,1.119894932275842,0.9911,1.389981360955598,1.3884654188209142,1.7202888031470103,1.0677448780306737,1.7109443688067127,1.3485486481976117,1.0,1.5252606390283654,1.5224221226551207,1.7543056159877508,1.3149551228143195,2.474049885803909,1.2273723618262977,0.9983,1.7711480468488945,1.7251984742270343,2.6498078534597327,1.1562246199766335,1.7193461128112384,1.3298669387611965,1.0,1.51347025514087,1.5065503656289994,1.77359073132201,1.3029604660891412,1.6233347202359691,1.33339760380187,1.0,1.4735600881018598,1.4699122027892295,1.6573466277262776,1.3089788111287144,1.7815641317136934,1.3864329436633938,1.0,1.5732083249999527,1.5652771959925234,1.8269530066913753,1.3580131539820213,1.6682823761009389,1.2356461265553778,0.9998,1.428299426226344,1.4163945796278297,1.7258382021736645,1.2070799513739268,1.5188759346858915,1.2316713450330634,1.0,1.3639769730394247,1.3572026008859142,1.5575573470450144,1.210837375042575,0.0,0.0,0.0,0.0,0.4366,0.48653421052631574,0.8732,0.9730684210526315,0.0014999999999999458,0.013318181818181818,0.0029999999999998916,0.026636363636363635,0.0,0.0,0.0,0.0,0.008900000000000019,0.0790212121212123,0.017800000000000038,0.1580424242424246,0.0,0.0,0.0,0.0,0.0017000000000000348,0.011859523809524052,0.0034000000000000696,0.023719047619048104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019999999999997797,0.0018903225806451616,0.00039999999999995595,0.003780645161290323,0.0,0.0,0.0,0.0
Arid4b,0.9346744725020505,0.991199654038164,0.839611823720237,0.9315124191239017,0.7895983441934826,0.9346258512642156,1.0613985948801405,0.8655054362885696,0.9099286903589194,0.9367681084690929,0.869261338067839,0.9521496365543878,0.9875774964513686,0.8983633418677103,0.0218,0.9418633950544724,0.9413871467627457,0.9981904441483301,0.8904660973348748,1.1709886242896892,0.866140893151851,0.5004,1.0065650215283555,1.0000353075110269,1.2078670263779556,0.8435054865811854,1.0336854205051358,0.7438003719716231,0.0917,0.8782955137321298,0.8720349112026013,1.0670238028295704,0.721558294892164,1.025238281825909,0.8527323937080159,0.1076,0.9339907122773091,0.9309521810450035,1.0462416844768339,0.8383145580108571,1.1584181860586344,0.6864373721328115,0.2111,0.8965166447277714,0.8709426522883207,1.2370281476642353,0.6610556677753773,1.021358292848358,0.8673795377344571,0.1055,0.9412906541082336,0.9399976887232491,1.0383848668020328,0.8535861857688702,1.4742785160811749,0.8170885160091546,0.6802,1.1101335590668369,1.0885975424704093,1.5589243713204102,0.7780835287122745,0.9872837810195978,0.7951960701520238,0.035,0.8852803512627204,0.8818061267107317,1.0130095882894752,0.7797420366289477,0.9881717235471074,0.8474964400754311,0.0331,0.9147566381214216,0.9129438776238052,1.0064333228494904,0.8343691730704977,1.039901255510298,0.8626974148644523,0.1679,0.9488974294538078,0.9474101454442017,1.0577240320506582,0.8476030020529126,1.0371862795895865,0.7809178187291101,0.1036,0.8988641868551603,0.8932523015701737,1.0691706814884956,0.764522253016369,1.0186219573512556,0.8929760618540851,0.1149,0.9543764318081465,0.9533246041493495,1.0325345312211696,0.8823154552597591,0.0218,0.06025849056603774,0.0436,0.12051698113207548,0.49960000000000004,0.4996,0.9992000000000001,0.9992,0.0917,0.24505454545454539,0.1834,0.49010909090909077,0.1076,0.2189361111111111,0.2152,0.4378722222222222,0.2111,0.47531111111111113,0.4222,0.9506222222222223,0.1055,0.2511766129032258,0.211,0.5023532258064516,0.3198,0.43180368663594465,0.6396,0.8636073732718893,0.035,0.09956310679611652,0.07,0.19912621359223304,0.0331,0.08486896551724138,0.0662,0.16973793103448276,0.1679,0.3061031055900621,0.3358,0.6122062111801242,0.1036,0.2467869918699187,0.2072,0.4935739837398374,0.1149,0.3146327102803738,0.2298,0.6292654205607476
Ash1l,1.001479076213404,0.9979192559198861,0.9434682588193368,0.9914844979996751,1.078870933021045,1.00559987685727,0.926933091198679,0.9631026481345407,0.9967561157579925,1.0243816023897647,0.9985282331625086,1.029840554493384,1.0674337753434522,0.9508443885220073,0.5941,1.0084338449817474,1.0080564887092138,1.07924131897972,0.9392751566974221,1.226720422208453,0.8783769394456671,0.5767,1.0312236404884303,1.0184149965417337,1.2784061334226737,0.8540379819995235,1.225497608254633,0.8495162327054182,0.4578,1.007375887050823,0.9887619422129243,1.2818687981858146,0.8251148084411042,1.1185985338731137,0.9136470327933602,0.5759,1.013087752497049,1.0111746441056515,1.141637745636317,0.8949736570243119,1.338513487481704,0.8001135574876205,0.5702,1.046077373089836,1.0276916475825013,1.4406314264229478,0.7640493557147354,1.1035635847599334,0.9176021570667883,0.5412,1.0075627264981537,1.006476844886242,1.1252438286152755,0.9018917643890567,1.339482327698486,0.7237581638120969,0.4203,0.98795808402163,0.962743439230813,1.4289640972640214,0.6848956074871458,1.1285362249465105,0.8527297659706994,0.3931,0.9828494949798458,0.9779565028553898,1.1615435608440587,0.8295456200864496,1.093010953749022,0.9146372095460651,0.5024,1.0013420082042113,1.000320494568157,1.1120493954013788,0.8997238582854034,1.144712961474882,0.9222861651230918,0.6773,1.0319429827614235,1.0317429288390867,1.1658976158776377,0.9017166924440356,1.1762278599702967,0.8708494775525097,0.6173,1.0251536046544028,1.0262448823659982,1.2105663548102672,0.8340543260944486,1.100866856707813,0.9490333955273333,0.6875,1.0229156621343074,1.0218150299493902,1.1158671214091287,0.935407194330649,0.40590000000000004,0.4657217898832684,0.8118000000000001,0.9314435797665368,0.4233,0.48638,0.8466,0.97276,0.4578,0.4910311188811189,0.9156,0.9820622377622378,0.42410000000000003,0.46891056603773584,0.8482000000000001,0.9378211320754717,0.42979999999999996,0.4977915789473684,0.8595999999999999,0.9955831578947368,0.4588,0.48552801418439717,0.9176,0.9710560283687943,0.4203,0.4760123076923077,0.8406,0.9520246153846154,0.3931,0.4657769841269841,0.7862,0.9315539682539682,0.49760000000000004,0.49760000000000004,0.9952000000000001,0.9952000000000001,0.3227,0.4317401826484018,0.6454,0.8634803652968036,0.38270000000000004,0.43461666666666676,0.7654000000000001,0.8692333333333335,0.3125,0.45110676328502414,0.625,0.9022135265700483
Ash2l,1.1318746705907958,0.8414573784648471,1.039599311894266,1.3263580173853209,1.138065883815911,1.2811542663489783,0.9906404475657176,1.2127880701525484,1.2066879890321842,1.3124556616033587,1.1273968840007815,1.201006701171342,1.2117651230544348,1.0726604601169254,0.9998,1.1399587062075156,1.138775794780876,1.2257576838132935,1.0605046994399363,0.964880028727095,0.7483634729585433,0.0216,0.8491705541151666,0.8453051540100551,0.9930858524049406,0.7312888424442439,1.2914854343036977,0.9289704188113154,0.7812,1.0854741399012973,1.070990340212254,1.358080464033132,0.902631814130285,1.4521807777650086,1.180365036469258,1.0,1.3082022242788967,1.3035504580042567,1.4832158842847742,1.1589485404111926,1.4150004433650962,0.8596684923707961,0.7771,1.13767059644187,1.1352580075924608,1.476503246811158,0.8143630814812809,1.397481289598504,1.127757730768455,0.9997,1.2664123928922235,1.2697125260595876,1.422412168063789,1.1052011593876316,1.3135756322761765,0.773860993552324,0.4987,1.0157036329380307,0.9996254931484667,1.3805832331688768,0.7390649723905648,1.3698927243171881,1.0897392747844872,0.9973,1.2251786296914762,1.222120308518228,1.4001694956781767,1.066096859776985,1.334753985654115,1.094247904558345,0.9993,1.210325294834545,1.207069002197683,1.3640511828001594,1.075851454509379,1.4399814287020605,1.1855186579395476,0.9999,1.3063568143372801,1.3038864062724826,1.4684575290231807,1.1661881433152286,1.2997682648654365,0.9916619704115501,0.9395,1.1465494253350894,1.1473903786230233,1.331472302267228,0.9574578812122846,1.3193375010533976,1.0708053946746663,0.9973,1.189077896460334,1.18589038004543,1.3513330509119257,1.0499470600474765,0.00019999999999997797,0.001172,0.00039999999999995595,0.002344,0.0216,0.0958909090909091,0.0432,0.1917818181818182,0.2188,0.37681162790697664,0.4376,0.7536232558139533,0.0,0.0,0.0,0.0,0.2229,0.47938055555555553,0.4458,0.9587611111111111,0.00029999999999996696,0.002585294117646774,0.0005999999999999339,0.005170588235293548,0.4987,0.4993,0.9974,0.9986,0.0027000000000000357,0.012557142857143024,0.005400000000000071,0.025114285714286047,0.0007000000000000339,0.0034183333333334992,0.0014000000000000679,0.0068366666666669984,9.999999999998899e-05,0.000887878787878788,0.00019999999999997797,0.001775757575757576,0.0605,0.17726499999999998,0.121,0.35452999999999996,0.0027000000000000357,0.020284615384615654,0.005400000000000071,0.04056923076923131
Asxl1,0.9489197885855634,1.0404723025642206,0.9280315564061073,0.9300888040923521,0.9582064915704174,0.9210847933889763,0.8901227194589614,0.9407540054363606,0.9370956677764235,0.9039706834016441,0.925989122742837,0.9657324839883431,1.0036160049568235,0.9096182691632256,0.064,0.9558736490803803,0.9554248796844993,1.0140177479215875,0.9010414445143401,1.5735777368426143,0.8673341650298572,0.6507,1.1154990409449863,1.054769496417003,1.7400860990472964,0.8418657435203754,1.1427702406954319,0.8237361785017733,0.3163,0.9622952638413148,0.9481331478235062,1.1881319061655915,0.8034617268513001,1.057125465027247,0.8373778398139792,0.1566,0.935710758058461,0.9299361137676881,1.086029714493236,0.8203384660760744,1.1506996935249711,0.7635765568604006,0.2796,0.9456034789815551,0.9336800731002876,1.217544535991936,0.7326399345607097,0.9896061154451025,0.8545320754281965,0.0277,0.9200458485860954,0.9192888780609441,1.0018762403699109,0.8428239030405396,1.3799164357537228,0.7003793662577883,0.3502,0.9692701297760946,0.9269688682067394,1.5171564369015018,0.6621747817879967,1.1071090961570933,0.8500533405555702,0.3089,0.966445046106978,0.9591916611346114,1.1428068508417637,0.8310445261394279,1.0211356604086117,0.8706703507591262,0.1026,0.9419755368860552,0.9397376202208754,1.039024171930463,0.8579183258572544,0.9877189609080342,0.8320541187349744,0.0294,0.9083004069178751,0.9066643126967282,1.0045245122739344,0.8187025379001809,1.1276811096382935,0.8425123314146739,0.3528,0.9737810145426442,0.968044335521456,1.1683315048534002,0.8177105547964661,1.0308945626165673,0.8913663812521007,0.1652,0.9594520588957015,0.9593565459059856,1.0443620500012651,0.878122966031569,0.064,0.1358840579710145,0.128,0.271768115942029,0.34930000000000005,0.4508585903083701,0.6986000000000001,0.9017171806167402,0.3163,0.4532209756097562,0.6326,0.9064419512195124,0.1566,0.2793266666666666,0.3132,0.5586533333333332,0.2796,0.48839112426035497,0.5592,0.9767822485207099,0.0277,0.10181750000000016,0.0554,0.20363500000000032,0.3502,0.45903333333333335,0.7004,0.9180666666666667,0.3089,0.42260139534883717,0.6178,0.8452027906976743,0.1026,0.1990847682119205,0.2052,0.398169536423841,0.0294,0.0916404255319149,0.0588,0.1832808510638298,0.3528,0.42318252032520326,0.7056,0.8463650406504065,0.1652,0.3541114285714285,0.3304,0.708222857142857
